Symbol,Market Cap,Current PE Ratio (TTM),EV to EBITDA (TTM),Current Price to Book Value,Dividend Yield,Dividend Payout Ratio FY,Gross Profit Margin (TTM)(%),Net Profit Margin (TTM)(%),Return on Assets (TTM),Return on Equity (TTM),Asset Turnover (TTM),Inventory Turnover (TTM),Current Ratio (Quarter),Quick Ratio (Quarter),Debt to Equity Ratio (Quarter)
MERI,94.20 B,32.45,9.16,2.13,-,-,0.6246,0.0763,0.0521,0.0658,0.68,-,7.11,7.11,-
CANI,94.18 B,-3.3,4.77,-0.16,-,-,-0.4307,-0.5298,-0.2391,0.0495,0.35,-,0.06,0.06,-
CBMF,93.75 B,-6.79,19.54,0.39,-,-,-0.4133,-1.6003,-0.0388,-0.058,0.02,0.06,1.91,0.19,0.3
TMPO,93.13 B,37.94,10.7,0.4,-,0.0357,0.5006,0.0117,0.0057,0.0104,0.48,4.62,1.93,1.72,0.3
KOPI,92.04 B,86.66,4.23,1.32,-,-,0.3603,0.0042,0.004,0.0153,0.93,4.56,1.01,0.61,1.43
OLIV,91.20 B,-,-,2.16,-,-,-,-,-0.202,-0.2224,-,-,9.68,0.66,0.15
LCKM,91.00 B,41.22,21.33,0.68,-,0.1336,0.2002,0.1245,0.0157,0.0165,0.13,-,14.47,14.47,-
CHEM,90.10 B,-71.95,25.52,0.79,0.0062,0.3014,0.1849,-0.0062,-0.0067,-0.011,1.04,3.39,2.22,1.54,0.33
ENVY,90.00 B,-9.36,-12.56,-1.69,-,-,-0.8459,-9.8042,-0.6459,0.1802,0.06,-,0.19,0.19,-
NANO,89.99 B,-,-,0.54,-,-,-,-,-,-,-,-,3.16,3.15,0.11
BAPI,89.47 B,-4.04,-103.76,0.22,-,-,0.3155,-13.9419,-0.0324,-0.0557,-,-,5.6,5.6,0.36
SBMA,86.48 B,8.6,4.17,0.36,0.043,0.2785,0.5069,0.0739,0.0346,0.042,0.47,11.82,1.23,1.02,0.12
INAI,86.17 B,-0.81,46.56,1.22,-,0.472,0.0905,-0.1349,-0.0901,-1.5025,0.66,1.82,0.74,0.35,9.24
SICO,85.55 B,6.16,3.73,0.64,0.0532,0.3527,0.3016,0.0866,0.0762,0.1036,0.92,18.77,2.91,2.74,0.24
KRYA,84.86 B,-1.16,-1.89,2.68,-,0.1998,-0.3359,-0.5093,-0.5507,-2.2979,1.24,8.18,1.4,0.87,1.22
JAYA,84.64 B,12.97,7.21,0.67,0.0472,1.2978,0.4777,0.0773,0.0158,0.0516,0.21,1.89,0.3,0.2,1.08
AYLS,84.49 B,-10.55,-31.4,2.56,-,-,0.094,-0.3522,-0.2403,-0.2426,0.67,-,88.15,88.15,-
OPMS,84.00 B,-12.75,-16.61,1.14,-,-,-0.2915,-1.0574,-0.0874,-0.0891,0.08,17.83,31.37,30.84,-
NASI,83.97 B,-19.01,-54.9,1.5,-,-,0.1482,-0.0922,-0.0657,-0.0792,0.71,1.9,4.14,2.29,0.13
BATA,83.20 B,-0.72,-1,-0.64,-,0.1111,0.4447,-0.2112,-0.4113,0.889,0.98,1.68,0.48,0.3,-1.55
IBFN,81.94 B,-3.21,14.33,-0.11,-,-,0.2518,-0.1111,-0.0518,0.0328,0.46,84.9,0.26,0.25,-0.76
PGLI,81.01 B,-30.62,-113.82,6.3,-,0.8227,0.393,-0.1325,-0.0762,-0.2056,0.57,16.19,0.65,0.49,1.12
ISEA,80.62 B,6.3,7.85,0.43,-,-,0.2365,0.02,0.0294,0.0685,1.46,2.26,1.52,0.62,1.18
BCIP,77.22 B,3.01,4.21,0.15,-,-,0.4688,0.2007,0.0281,0.0503,0.14,0.27,2.57,0.66,0.03
SMKM,76.43 B,-,-,0.37,-,0.0646,-,-,-,-,-,-,50.92,50.92,-
ISAP,76.39 B,-,-,0.44,-,-,-,-,-,-,-,-,21.22,1.27,0.03
HDIT,76.23 B,-12.25,-23.13,0.32,-,-,-0.0001,-0.3354,-0.0218,-0.0265,0.06,0.15,9.47,5.05,0.03
MENN,76.00 B,-,-,1.94,-,-,-,-,-,-,-,-,1165.33,70.88,-
JAST,75.78 B,-20.82,6.87,1.28,-,-,0.2874,-0.0148,-0.0201,-0.0615,1.37,-,0.98,0.98,0.55
MPOW,75.16 B,-5.39,7.49,0.75,-,-,-0.0854,-0.4729,-0.1039,-0.14,0.21,62.54,0.37,0.35,0.04
LABA,75.03 B,20.17,15.76,0.68,-,-,0.4357,0.0773,0.0236,0.0336,0.38,1.75,2.25,1.63,0.13
TGRA,74.25 B,-2.83,-11.3,0.29,-,-,-,-,-0.0583,-0.1036,-,-,0.24,0.24,0.03
POLY,74.02 B,-0.22,-64.73,-,-,-,-0.3562,-0.4659,-0.2561,0.0195,0.53,7.86,0.02,0.01,-1.02
AIMS,72.60 B,-91.28,-91.78,436.62,-,-,1,-0.5827,-0.1817,-4.7831,0.31,-,0.24,0.24,-
INCF,71.92 B,-85.2,12.47,0.48,-,-,0.2168,-0.0065,-0.002,-0.0057,0.3,1.18,0.97,0.64,1.58
LUCK,71.57 B,-5.26,-6.83,0.61,-,0.5112,0.0859,-0.1046,-0.0918,-0.1164,0.88,7.69,3.44,2.8,0.08
PURE,70.13 B,-,36.44,-0.52,-,-,-,-,-,-,-,-,0.33,0.13,-3.67
BOSS,70.00 B,-0.38,-2.7,-0.42,-,-,-0.1484,-0.9304,-0.2888,1.0923,0.31,4.24,0.58,0.46,-2.14
KOIN,69.64 B,-13.08,2.92,-0.74,-,-,0.0843,-0.0016,-0.0072,0.0568,4.05,13.11,0.8,0.54,-
OILS,67.65 B,6.54,6.62,0.67,-,0.2062,0.0454,0.0091,0.0336,0.1019,4,7.11,1.26,0.42,1.28
MIRA,67.34 B,-8.93,21.44,0.47,-,-,0.1478,-0.1244,-0.0328,-0.0523,0.26,22.28,0.64,0.59,0.27
RUNS,66.88 B,-,-,1.22,-,0.1717,-,-,-,-,-,-,1.26,1.26,0.19
LOPI,66.00 B,-,-,1.09,-,-,-,-,-,-,-,-,2.28,2.28,0.5
