Symbol,Market Cap,Current PE Ratio (TTM),EV to EBITDA (TTM),Current Price to Book Value,Dividend Yield,Dividend Payout Ratio FY,Gross Profit Margin (TTM)(%),Net Profit Margin (TTM)(%),Return on Assets (TTM),Return on Equity (TTM),Asset Turnover (TTM),Inventory Turnover (TTM),Current Ratio (Quarter),Quick Ratio (Quarter),Debt to Equity Ratio (Quarter)
IMPC,"71,653.63 B",106.91,66.65,24,-,0.5518,0.3994,0.1486,0.1296,0.2245,0.86,2.13,2.85,1.5,0.17
ICBP,"69,971.45 B",7.65,6.1,1.28,0.0417,0.4118,0.3485,0.1197,0.0652,0.1675,0.55,6.12,4.22,3.59,0.87
HMSP,"69,790.85 B",10.34,5.7,2.29,0.0938,0.9908,0.1862,0.061,0.13,0.2218,2.14,4.47,1.96,0.9,0.01
BRMS,"68,339.91 B",77.56,39.44,3.17,-,-,0.5777,0.2078,0.0371,0.0409,0.19,4.73,3.18,2.92,0.2
ADRO,"63,775.63 B",7.7,5.12,0.77,0.1214,1.0494,0.3591,0.2543,0.0678,0.0995,0.28,10.03,4.32,4.1,0.22
ANTM,"60,797.83 B",7.17,5.27,1.57,0.06,1,0.1784,0.0966,0.134,0.2184,1.52,5.87,1.98,0.97,0.14
UNVR,"60,086.25 B",7.03,10.35,9.16,0.1276,0.7464,0.4691,0.2656,0.4269,1.3025,1.61,7.21,0.87,0.68,0.09
GOTO,"59,557.25 B",-92.43,40.8,1.86,-,-,0.5878,-0.0332,-0.0138,-0.0201,0.42,605.79,2.65,2.65,0.25
ADMR,"59,279.38 B",12.17,9.9,2.11,0.0349,0.4631,0.4208,0.282,0.0894,0.1737,0.34,6.17,2,1.76,0.58
MDKA,"59,224.62 B",-57.91,18.8,4.48,-,-,0.1142,-0.0328,-0.0107,-0.0773,0.33,4.01,1.25,0.87,2.35
AADI,"58,012.34 B",4.94,3.43,0.98,0.0622,0.6225,0.2446,0.1476,0.1194,0.1987,0.82,31.72,2.1,1.93,0.24
ISAT,"55,310.14 B",9.72,3.91,1.46,0.0647,0.6497,-,0.0978,0.0466,0.1505,0.48,-,0.56,0.56,1.45
INDF,"52,024.03 B",4.76,4.46,0.67,0.0473,0.2845,0.3295,0.0868,0.0482,0.1412,0.57,4.23,2.16,1.69,0.99
CPIN,"51,653.70 B",7.73,4.6,1.41,0.0571,0.523,0.1885,0.0916,0.1379,0.1821,1.55,5.24,3.82,2.26,0.17
SUPR,"49,882.87 B",39.81,28.62,6.03,-,-,0.7343,0.6579,0.1201,0.1514,0.18,83.15,0.27,0.26,0.18
AMRT,"49,621.78 B",14.13,4.97,2.68,0.0347,0.4499,0.2187,0.0272,0.0766,0.19,2.92,7.41,1.08,0.48,0.15
NCKL,"49,216.91 B",4.92,6.34,1.18,0.0389,0.3003,0.3056,0.3413,0.154,0.2394,0.46,3.21,2.08,1.12,0.22
BUMI,"48,273.60 B",33.32,22.13,1.74,-,2.6573,0.1879,0.0584,0.0191,0.0523,0.34,-,1.25,1.25,0.37
MBMA,"47,517.98 B",97.54,18.87,1.79,-,-,0.1161,0.0206,0.0078,0.0184,0.39,5.59,1.62,1.2,0.46
TCPI,"45,000.00 B",343.51,72.13,21.15,0.0006,0.2928,0.2396,0.0662,0.0326,0.0616,0.5,15.95,1.06,0.95,0.58
INCO,"44,688.69 B",27.51,10.14,0.93,0.0183,0.6148,0.1429,0.0944,0.0286,0.0339,0.31,4.26,2.13,1.46,-
EXCL,"44,407.66 B",-8.03,5.69,1.52,0.1003,2.4483,-,-0.1211,-0.0494,-0.1897,0.4,-,0.4,0.4,2.1
MEGA,"42,267.32 B",12.13,9.19,1.74,0.0478,0.6,0.5008,0.35,0.0258,0.1431,0.07,-,-,-,0.01
MTEL,"41,612.72 B",19.46,7.68,1.24,0.0509,1.0044,0.4995,0.2235,0.0353,0.0635,0.16,-,0.53,0.53,0.63
BELI,"37,049.13 B",-19.06,-36.56,4.14,-,-,0.1656,-0.0762,-0.1043,-0.217,1.4,6.92,1.22,0.83,0.4
BNGA,"36,959.04 B",5.41,3.45,0.63,0.11,0.5915,0.5542,0.2832,0.0186,0.1162,0.07,-,-,-,0.02
BDMN,"36,748.56 B",8.62,6.4,0.69,0.0378,0.35,0.6963,0.1615,0.0152,0.0798,0.1,-,-,-,0.11
MYOR,"36,444.68 B",11.68,7.05,1.93,0.0368,0.4099,0.2309,0.0817,0.109,0.1651,1.27,5.33,4.18,3.06,0.27
INKP,"35,561.39 B",4.57,6.64,0.3,0.0077,0.0407,0.3338,0.1464,0.0362,0.0655,0.25,5.05,2.69,2.51,0.67
MSIN,"35,192.18 B",34.15,37.24,5.21,-,0.1453,0.2842,0.258,0.1225,0.1526,0.47,-,3.08,3.08,0.04
PTRO,"34,897.73 B",71.83,13.35,7.84,0.0048,1.085,0.1307,0.0288,0.0178,0.1092,0.63,41.96,1.29,1.25,2.8
PGAS,"33,695.70 B",8.33,2.95,0.7,0.0904,0.858,0.1817,0.0619,0.0384,0.0841,0.62,25.18,2.01,1.9,0.37
TBIG,"33,532.36 B",23.89,10.6,2.67,0.016,0.8109,0.7164,0.2035,0.0302,0.1116,0.15,-,0.28,0.28,2.33
GEMS,"33,235.29 B",7.81,5.13,2.83,0.0911,0.7119,0.3195,0.107,0.2127,0.3622,2.05,41.36,1.5,1.4,0.19
PGUN,"32,849.18 B",224.48,87.23,16.84,0.0012,0.251,0.3625,0.1868,0.0583,0.075,0.31,11.62,1.72,1.48,0.17
CMRY,"32,690.89 B",15.51,12,4.45,0.0485,0.7807,0.4486,0.1849,0.2225,0.2872,1.25,5.26,2.25,1.68,-
PGEO,"32,472.14 B",13.02,5.66,0.91,0.0638,0.9128,0.5403,0.3355,0.048,0.0701,0.14,7.22,4.77,4.62,0.36
SILO,"31,474.82 B",27.45,10.85,3.15,-,0.2147,0.3879,0.0876,0.0748,0.1149,0.88,36.52,0.71,0.67,0.18
KLBF,"31,130.91 B",8.61,5.29,1.28,0.0301,0.2555,0.3905,0.0999,0.1131,0.1489,1.16,3.07,3.56,2.23,0.01
EMTK,"30,098.96 B",10.68,4.79,0.82,0.0204,0.0905,0.2578,0.1343,0.047,0.0764,0.35,9.6,5.62,5.34,0.06
ENRG,"29,639.51 B",19.65,6.9,1.98,-,-,0.3643,0.1838,0.0495,0.1007,0.28,7.89,0.44,0.35,0.47
MEDC,"29,409.39 B",11.76,4,0.79,0.0521,0.43,0.375,0.0602,0.0178,0.067,0.3,10.62,1.12,1.02,1.64
PTBA,"28,801.65 B",8.62,4.86,1.22,0.133,0.7504,0.1585,0.0784,0.0773,0.1419,0.98,8.68,1.27,0.94,0.12
GGRM,"27,706.87 B",9.27,3.01,0.43,0.0347,0.9809,0.1171,0.0346,0.0389,0.0466,1.14,2.26,3.86,0.68,-
FAPA,"26,222.50 B",24.44,12.4,6.63,-,-,0.2977,0.1352,0.1037,0.2713,0.77,6.13,0.85,0.57,0.95
NISP,"25,704.92 B",5.01,3.84,0.58,0.0402,0.2042,0.5919,0.2721,0.0164,0.1149,0.06,-,-,-,0.05
TAPG,"25,014.20 B",6.88,5.5,2.09,0.1429,0.9652,0.394,0.3226,0.2361,0.3044,0.75,6.26,2.73,2.14,0.09
ITMG,"24,717.11 B",8.24,2.16,0.76,0.0791,0.6213,0.2533,0.0953,0.0733,0.092,0.78,14.2,3.61,3.36,0.05
MAPI,"24,651.00 B",10.33,3.39,1.68,0.0067,0.0939,0.4069,0.0518,0.0697,0.1629,1.37,2.86,1.62,0.8,0.24
BINA,"23,925.39 B",-72.41,-69.77,7.73,-,-,0.3025,-0.1758,-0.0106,-0.1067,0.06,-,-,-,-
ARCI,"23,847.08 B",11.84,7.27,3.58,0.0219,0.6092,0.4476,0.2237,0.1116,0.3023,0.51,3.34,1.02,0.48,1.23
MLPT,"23,437.50 B",77.43,35.58,29.89,0.0107,0.7439,0.1599,0.0778,0.0779,0.3861,1.02,2.75,1.05,0.59,0.32
VKTR,"23,406.25 B",-2088.72,318.14,22.41,-,-,0.1781,-0.0092,-0.0061,-0.0107,0.67,8.12,2.16,1.81,0.22
AKRA,"23,385.60 B",9.12,6.48,1.82,0.0858,0.8118,0.0878,0.0526,0.0692,0.1999,1.32,16.25,1.45,1.28,0.39
TINS,"21,672.96 B",8.03,4.51,2.18,0.0219,0.3799,0.301,0.1808,0.1771,0.2709,1.03,3.83,2.76,1.88,0.11
BTPN,"21,238.66 B",47.02,38.93,0.44,0.0048,0.2,0.6618,0.0189,0.0018,0.0094,0.1,-,-,-,0.48
JPFA,"20,873.30 B",4.06,2.92,1.02,0.0787,0.41,0.2343,0.0802,0.1307,0.2502,1.61,4.94,1.79,0.87,0.39
MDIY,"20,782.07 B",17.46,7.83,4.65,-,-,0.5391,0.1403,0.1544,0.266,1.11,1.57,1.68,0.55,0.36
MKPI,"20,646.92 B",17.7,11.12,2.56,0.0334,0.7003,0.5443,0.4414,0.1181,0.1448,0.27,73.24,2.51,2.5,-
GIAA,"20,354.59 B",-4.2,5.06,-29.2,-,-,-,-0.0897,-0.038,6.9533,0.43,-,0.98,0.92,-88.9
SUPA,"20,338.21 B",-,282.94,2.51,-,-,-,-,-,-,0.02,-,-,-,-
PNBN,"19,992.75 B",7.36,9.46,0.37,0.0506,0.3695,0.5872,0.1752,0.0121,0.05,0.07,-,-,-,0.36
MIKA,"19,957.24 B",14.47,9.07,2.63,0.03,0.5217,0.5447,0.253,0.143,0.182,0.58,34.62,4.54,4.46,0.01
JSMR,"19,596.25 B",5.59,9.08,0.53,0.0579,0.3098,0.4107,0.1196,0.0218,0.0946,0.18,101.76,0.58,0.57,2.08
TOWR,"18,675.00 B",4.89,6,0.67,0.0749,0.2211,0.676,0.2791,0.0471,0.1366,0.17,23.02,0.27,0.25,1.66
AVIA,"17,842.62 B",9.89,6.78,1.8,0.0799,0.8154,0.4387,0.2131,0.1553,0.182,0.75,2.8,5.15,4.09,-
BBHI,"17,818.81 B",31.49,21.83,2.37,0.0131,0.4996,0.7729,0.2902,0.0383,0.0751,0.12,-,-,-,-
CBDK,"17,800.49 B",10.02,9.65,1.87,0.0016,0.0307,0.7203,0.6297,0.0792,0.1868,0.13,0.11,1.25,0.44,0.02
FASW,"16,992.12 B",-20.02,165.66,2.97,-,0.6178,0.0172,-0.1055,-0.0687,-0.1484,0.65,7.07,0.77,0.47,0.79
SRTG,"16,956.04 B",2.32,4.1,0.29,0.0826,0.1915,1,1.7679,0.1171,0.1243,0.07,-,41.64,41.64,-
FILM,"16,494.66 B",-70.1,258.89,5.29,-,2.8166,0.3232,-0.4486,-0.0626,-0.0755,0.14,0.76,1.53,0.67,0.13
MGLV,"15,334.31 B",-,-,120.56,-,-,-,-,-,-,-,-,3.6,0.8,-
MAPA,"15,107.12 B",8.16,3.29,1.65,0.0075,0.0842,0.4734,0.093,0.1271,0.2022,1.39,1.81,2.25,0.63,-
BNBR,"14,740.43 B",32.85,112.65,3.81,-,-,0.2331,0.1144,0.0185,0.116,0.16,4.35,1.31,1.12,4.38
BBTN,"14,736.17 B",3.98,5.66,0.4,0.051,0.25,0.5169,0.1025,0.0072,0.1008,0.07,-,-,-,0.51
BBSI,"14,294.67 B",80.25,56.03,4.05,-,-,0.8062,0.0663,0.0121,0.0505,0.2,-,-,-,-
PSAB,"14,288.40 B",2.96,3.93,1.39,0.1944,-,0.6437,0.9903,0.2885,0.4694,0.32,2.24,2.92,2.6,0.08
TKIM,"14,165.17 B",3.3,12.08,0.27,0.0055,0.0165,0.1539,0.2612,0.0629,0.0834,0.25,3.18,1.36,0.81,0.2
INTP,"14,062.41 B",6.24,3.26,0.6,0.117,0.7316,0.3268,0.128,0.0723,0.0968,0.56,5.14,1.67,1.29,0.12
JRPT,"13,943.58 B",10.37,8.12,1.27,0.0287,0.3083,0.553,0.3992,0.0872,0.1225,0.22,0.44,1.3,0.42,-
BSIM,"13,702.73 B",47.62,14.47,1.63,-,-,0.5801,0.0973,0.0051,0.0342,0.05,-,-,-,-
BUVA,"13,539.38 B",681.24,131.65,6.63,-,-,0.7094,0.0544,0.0077,0.0097,0.14,35.65,2.65,2.62,0.22
CMNT,"13,272.27 B",258.28,13.22,5.34,-,-,0.2147,-,0.0031,0.0207,0.56,4.36,0.47,0.23,3.36
BNII,"13,261.44 B",8.39,10.13,0.41,0.0437,0.35,0.5586,0.1216,0.0082,0.0492,0.07,-,-,-,0.46
SCMA,"13,240.73 B",14.31,8.87,1.93,0.1173,2.0147,0.4093,0.1319,0.0898,0.1352,0.7,3.31,3.1,2.51,-
SOHO,"13,199.35 B",20.09,14.34,4.76,0.0698,1.5349,0.1756,0.0611,0.1133,0.2369,1.8,5.78,1.83,1.29,-
CARE,"13,100.50 B",383.99,102.67,4.33,-,-,0.5262,0.0706,0.0082,0.0113,0.12,45.87,0.84,0.83,0.35
ULTJ,"12,945.73 B",8.72,4.72,1.48,0.1044,0.9989,0.3266,0.1602,0.1484,0.1702,0.96,5.42,5.78,4.62,-
LIFE,"12,810.00 B",46.44,36.42,1.53,0.0157,0.9776,-,0.089,0.0176,0.0329,0.2,-,-,-,-
RISE,"12,796.89 B",76.15,72.66,4.62,-,-,0.5448,0.3679,0.0404,0.0606,0.12,0.19,2.49,0.85,0.23
MLBI,"12,483.98 B",10.25,6.01,7.87,0.0915,0.4146,0.6419,0.3353,0.3357,0.7675,1.03,6.06,1.05,0.93,0.05
STTP,"12,445.00 B",11.11,7.16,1.65,-,0.2072,0.3168,0.2159,0.1369,0.1487,0.64,8.89,12.62,11.76,-
MCOL,"12,444.46 B",9.74,3.94,1.27,0.08,0.906,0.2209,0.1119,0.0991,0.1305,0.91,29.22,2.97,2.76,-
ADES,"12,358.34 B",14.52,10.69,3.8,-,-,0.5266,0.2745,0.2159,0.2613,0.83,3.49,3.77,3.07,-
HEAL,"11,831.78 B",29.14,8.82,2.07,0.0175,0.4829,0.3394,0.0562,0.0336,0.071,0.6,29.79,1.36,1.28,0.61
PWON,"11,746.18 B",4.82,4.33,0.51,0.0533,0.3018,0.5594,0.338,0.0659,0.1066,0.2,0.69,3.53,2.05,0.25
SMAR,"11,546.22 B",3.52,3.65,0.5,0.0672,0.3,0.1282,0.0379,0.0715,0.141,1.9,6.8,1.96,1.01,0.52
IBST,"11,448.92 B",29.21,14.36,4.36,-,13.1783,0.7172,0.455,0.0901,0.1493,0.21,81.08,0.91,0.9,0.17
BSDE,"11,432.54 B",4.49,6.19,0.26,-,0.0589,0.6354,0.199,0.0321,0.0581,0.16,0.26,3.38,1.49,0.37
DSNG,"11,394.83 B",5.99,3.71,0.96,0.0223,0.2227,0.3087,0.152,0.1071,0.1597,0.71,6.38,1.52,0.9,0.28
ALII,"11,394.58 B",30.3,27.06,5.19,0.0062,0.2462,0.4577,0.3861,0.128,0.1714,0.34,395.74,1.98,1.97,0.09
AALI,"11,355.66 B",7.24,1.75,0.47,0.0776,0.599,0.1667,0.0538,0.0562,0.0656,1.06,7.86,4,2.8,-
GOOD,"11,216.96 B",16.26,8.3,2.74,0.0312,0.509,0.2748,0.0511,0.0716,0.1687,1.42,5.72,1.33,0.78,0.53
RAJA,"11,159.50 B",23.07,11.27,3.05,0.0095,0.2354,0.2866,0.1139,0.0552,0.1324,0.51,287.3,1.96,1.95,0.88
ARTO,"11,158.37 B",36.98,15.63,1.25,-,-,0.7204,0.0835,0.0076,0.0338,0.09,-,-,-,-
TRIO,"11,079.19 B",-69.98,-4345.5,-2.75,-,1.2168,0.092,-0.3729,-2.0556,0.0393,5.62,22.81,0.02,0.01,-0.43
JARR,"11,076.80 B",44.29,20.67,5.66,0.0047,0.2,0.1754,0.0595,0.0631,0.1277,1.05,10.09,4.85,3.97,0.9
AUTO,"11,037.19 B",4.89,4.42,0.68,0.1,0.5005,0.1683,0.1114,0.0958,0.1394,0.88,6.62,2.22,1.69,0.04
ARKO,"10,864.72 B",180.87,483.97,20.41,-,-,0.2397,0.1765,0.0352,0.1128,0.2,-,0.69,0.69,0.64
POWR,"10,858.83 B",9,4.57,0.87,0.1092,0.999,0.1963,0.133,0.0593,0.097,0.45,7.08,10.34,8.96,0.47
SIDO,"10,620.00 B",9.29,6.39,3.26,0.1045,0.903,0.579,0.2909,0.3138,0.351,1.07,3.19,5.87,4.16,-
CITA,"10,574.16 B",6.39,10.74,1.17,0.1315,0.5794,0.3988,0.5779,0.175,0.1826,0.31,1.71,8.78,5.8,-
TSPC,"10,507.98 B",7.79,3.82,1.1,0.0858,0.2977,0.3814,0.0954,0.101,0.1414,1.07,3.9,3.33,2.53,0.14
BUKA,"10,419.88 B",4,-1.44,0.42,-,-,0.0743,0.351,0.1025,0.1053,0.29,28.48,38.02,37.48,-
YUPI,"10,210.66 B",16.39,10.91,5.88,0.0432,0.2,0.368,0.2077,0.1972,0.3588,0.99,4.95,3.12,2.46,0.45
DEWA,"10,171.86 B",2.35,5.68,1.29,-,-,0.1548,0.6812,0.2715,0.5498,0.39,17.84,0.98,0.88,0.45
INDY,"10,159.87 B",60.3,7.87,0.5,0.0053,0.5377,0.1379,0.005,0.0033,0.0083,0.68,37.19,1.89,1.8,0.89
BSSR,"10,152.02 B",6.8,3.19,2,0.1221,0.6618,0.2989,0.1252,0.2232,0.2939,1.85,12.96,2.78,2.34,-
RATU,"10,127.15 B",45.54,25.24,11.2,0.0121,0.4857,0.495,0.2846,0.0999,0.2459,0.45,-,6.29,6.29,1.18
SMGR,"10,026.04 B",43.86,4.16,0.23,0.0191,1.0022,0.2001,0.0064,0.003,0.0052,0.47,5.85,1.14,0.81,0.21
CTRA,"9,823.92 B",3.9,2.74,0.4,0.0453,0.2092,0.4649,0.2026,0.055,0.1025,0.27,0.51,2.24,1.08,0.27
ESSA,"9,733.24 B",11.52,4.07,1.23,0.0177,0.2406,0.375,0.1588,0.0728,0.1068,0.47,5.08,11.46,9.57,-
EDGE,"9,677.00 B",80.87,27.49,5.21,-,-,0.4753,0.133,0.016,0.0644,0.14,-,0.63,0.63,2.18
ADMF,"9,639.26 B",5.87,13.26,0.62,0.0808,0.5039,-,0.1331,0.0413,0.1055,0.32,-,-,-,1.51
BBKP,"9,582.26 B",-34.78,-28.94,1.19,-,6.2032,0.2462,-0.0498,-0.0032,-0.0341,0.06,-,-,-,2.13
STAA,"9,540.45 B",5.98,3.13,1.3,0.0857,0.5091,0.3174,0.1521,0.1581,0.217,1.07,7.36,2.95,2.25,0.21
MIDI,"9,295.01 B",10.71,4.13,1.93,0.0426,0.4498,0.2576,0.0413,0.0897,0.1805,2.23,5.55,1.06,0.45,-
BKSL,"9,223.99 B",10.67,11.67,0.6,-,0.0665,0.5734,0.3044,0.038,0.0566,0.13,0.51,1.87,1.16,0.31
SMSM,"9,098.71 B",8.21,4.97,2.24,0.0886,0.1449,0.3752,0.2084,0.2022,0.2727,1,2.52,5.94,3.89,0.03
NSSS,"8,996.99 B",14.34,9.19,4.32,0.0079,0.0966,0.5236,0.3054,0.1481,0.3014,0.49,4.09,1.49,1.21,0.81
HRTA,"8,911.18 B",7.06,5.12,2.44,0.0207,0.2187,0.0401,0.0218,0.0917,0.3455,4.39,6.56,1.48,0.5,1.12
PLIN,"8,910.50 B",13.61,11.64,0.77,0.0618,0.8606,0.6795,0.4616,0.0502,0.0568,0.11,57.12,1.76,1.75,0.05
BFIN,"8,798.04 B",5.75,2.62,0.8,0.1197,0.6655,-,0.2419,0.0606,0.1398,0.25,-,-,-,-
TURI,"8,704.80 B",9.69,-,2.02,-,0.2988,0.0978,0.0617,0.1191,0.2084,1.97,13.4,1.29,0.71,0.41
COIN,"8,676.47 B",312.49,63.93,5.67,-,-,-,0.1007,0.0177,0.0182,0.17,-,10.4,10.4,-
HRUM,"8,651.58 B",12.78,9.2,0.54,-,0.2192,0.1601,0.0294,0.0108,0.0426,0.38,6.39,1.58,1.22,0.66
CMNP,"8,638.30 B",7.97,8.71,0.57,-,0.2246,0.3365,0.1887,0.0406,0.0716,0.22,-,1,1,0.45
BMAS,"8,544.46 B",2302.46,132.86,1.31,-,2.0268,0.4669,0.0026,0.0001,0.0006,0.06,-,-,-,-
PRAY,"8,515.25 B",44.53,14.61,2.62,-,-,0.2773,0.0743,0.031,0.0588,0.42,24.78,1.55,1.48,0.03
INPP,"8,330.57 B",-18.57,20.66,1.47,0.0148,0.0631,0.5738,-0.2519,-0.0438,-0.0789,0.17,1.06,3.5,2.1,0.39
BIPI,"8,154.91 B",454.37,9.01,1.05,-,0.0944,0.1474,0.0046,0.0007,0.0023,0.14,23.93,1.25,1.23,1.6
RMKE,"8,137.50 B",33.25,20.62,4.16,0.0161,0.5428,0.1565,0.0908,0.0718,0.1251,0.86,58.54,3.41,3.35,0.54
WIKA,"8,134.11 B",-0.81,-36.79,-4.02,-,0.8892,0.0885,-0.7854,-0.2068,4.9788,0.26,1.51,1.26,0.75,-15.6
BBMD,"7,996.13 B",25.4,17.18,1.49,0.0175,0.3473,0.7308,0.2538,0.0192,0.0587,0.08,-,-,-,-
CLEO,"7,728.00 B",20.07,7.23,3.26,0.0078,0.129,0.554,0.1314,0.1181,0.1626,0.93,4.09,1.41,0.67,0.17
RLCO,"7,593.75 B",-,572.38,24.68,-,-,-,-,-,-,-,-,1.47,0.83,1.59
KPIG,"7,589.17 B",10,14.79,0.26,-,0.2625,0.4187,0.2771,0.021,0.0264,0.08,0.9,1.05,0.52,0.16
LSIP,"7,501.96 B",3.97,-0.14,0.52,0.0591,0.3002,0.3938,0.3407,0.1196,0.1313,0.35,5.68,11.27,10.56,-
DUTI,"7,492.50 B",17.75,8.52,0.69,-,0.7481,0.6701,0.1544,0.0261,0.039,0.17,0.24,4.22,2.28,-
BJBR,"7,417.62 B",6.37,7.02,0.44,0.1213,0.7807,0.4576,0.0688,0.0053,0.0686,0.08,-,-,-,0.77
AGII,"7,390.65 B",86.12,12.26,1.95,0.0036,0.2501,0.4674,0.028,0.0101,0.0226,0.36,3.3,1.98,1.5,1.05
BJTM,"7,387.63 B",4.52,6.47,0.54,0.1151,0.5501,0.7046,0.1462,0.01,0.119,0.07,-,-,-,0.29
SIMP,"7,347.62 B",3.58,2.44,0.35,0.0422,0.2,0.2492,0.0973,0.0491,0.0984,0.51,4.7,1.36,1.08,0.43
WIFI,"7,246.17 B",14.77,4.84,0.97,0.0015,0.0459,0.6293,0.2218,0.0303,0.0657,0.14,0.57,1.91,1.53,0.51
CYBR,"7,204.96 B",525.06,137.11,28.34,-,-,0.4824,0.0287,0.0296,0.054,1.09,1488.74,2.36,2.36,0.04
CLAY,"7,144.60 B",554.71,195.93,387.46,-,-,0.4745,0.0852,0.0247,0.6985,0.29,114.43,0.35,0.34,10.82
ELPI,"7,115.52 B",37.24,22.46,2.71,0.0177,0.5907,0.2381,0.1916,0.0534,0.0728,0.29,13.23,3.01,2.77,0.15
SSIA,"7,010.82 B",328.42,18.95,1.24,0.0101,0.3013,0.243,0.0044,0.0017,0.0038,0.38,4.75,1.58,1.29,0.48
SMCB,"6,990.02 B",9.81,4.33,0.53,0.0471,0.5,0.2339,0.0658,0.0351,0.0535,0.53,6.84,1.06,0.77,0.12
DMAS,"6,844.13 B",5.42,4.89,0.92,0.2042,1.0481,0.7387,0.6811,0.1557,0.17,0.24,0.11,9.67,2.53,-
CNMA,"6,834.29 B",8.92,2.72,1.66,0.1434,1.3913,0.1862,0.127,0.1139,0.1856,0.89,-,2.88,2.88,-
PACK,"6,668.16 B",-,-,63.29,-,-,-,-,-,-,-,-,0.05,0.05,0.01
BTPS,"6,625.18 B",5.48,3.35,0.64,0.0997,0.5496,0.9073,0.234,0.0523,0.1177,0.23,-,-,-,-
POLU,"6,600.00 B",-330.93,-625.18,56.13,-,-,0.0654,-0.1277,-0.0824,-0.1696,0.64,8.75,1.29,1.17,0.33
TMAS,"6,503.87 B",12.5,6.83,2.05,0.0702,0.3389,0.1844,0.1169,0.0934,0.1641,0.82,18.01,1.28,0.97,0.52
SSMS,"6,381.75 B",5.61,4.59,2.45,0.1254,0.6892,0.352,0.0772,0.0825,0.4361,1.08,9.07,1.36,1.1,3.11
PNLF,"6,244.30 B",2.95,8.17,0.2,-,0.2412,-,0.1714,0.0088,0.0672,0.05,-,-,-,0.57
GMFI,"6,241.76 B",10.19,4.74,2.62,-,0.8785,-,0.0722,0.0396,0.2567,0.58,-,1.07,0.87,0.49
APIC,"6,177.31 B",59.68,45.19,1.91,-,0.0499,-,0.0513,0.0125,0.0319,0.24,-,-,-,1.06
EPMT,"6,175.70 B",7.96,4.75,0.76,0.0785,0.6536,0.0987,0.023,0.055,0.0959,2.48,6.46,2.09,1.25,-
MTDL,"5,991.12 B",7.31,5.64,1.23,0.0492,0.3983,0.0813,0.0289,0.0559,0.1682,2.04,10.78,1.74,1.37,0.45
ABMM,"5,974.37 B",5.66,4.89,0.4,0.0447,0.2295,0.1074,0.0629,0.0304,0.0699,0.49,20.52,1.04,0.94,1.04
CTBN,"5,962.77 B",65.29,23.1,2.84,0.0624,1.0211,0.18,0.0291,0.0363,0.0435,1.16,8.22,6.98,4.63,-
YULE,"5,819.10 B",43.46,39.79,8.42,0.0031,0.1351,-,0.7937,0.1732,0.1937,0.22,-,-,-,-
WSKT,"5,818.98 B",-1.73,109.42,-3.4,-,0.1061,0.1568,-0.3515,-0.0488,1.9647,0.14,3.42,0.8,0.67,-27.52
TLDN,"5,644.69 B",5.28,3.56,1.48,0.1242,0.6335,0.33,0.1942,0.1701,0.2795,0.9,6.89,1.32,0.96,0.16
WBSA,"5,552.00 B",-,81.75,16.81,-,-,-,-,-,-,-,-,1.43,1.43,0.31
FORE,"5,529.38 B",59.02,14.92,8.01,-,-,0.6164,0.0568,0.0805,0.1358,1.42,4.82,1.25,0.87,0.34
ACES,"5,375.80 B",7.78,2.65,0.8,0.1079,0.65,0.4719,0.078,0.0797,0.1033,1.03,1.53,7.08,3.72,0.01
DMND,"5,207.60 B",11.58,6.04,0.79,0.0127,0.1821,0.2026,0.0385,0.0543,0.068,1.41,3.94,3.47,1.9,0.04
BHAT,"5,200.00 B",-14877.69,437.3,8.38,-,-,-,-0.0022,-0.0003,-0.0006,0.13,-,-,-,0.8
OMED,"5,195.30 B",13.23,8.31,1.84,0.0186,0.3003,0.353,0.1785,0.1182,0.1393,0.67,1.89,11.08,7.72,0.07
BSWD,"5,164.41 B",84.51,58.98,1.46,-,2.4179,0.6521,0.1395,0.0085,0.0173,0.06,-,-,-,-
ERAA,"5,135.90 B",3.55,3.14,0.54,0.059,0.2935,0.1076,0.0174,0.0458,0.1514,2.75,5.78,1.24,0.42,0.96
NICL,"5,105.11 B",18.9,12.82,5.72,0.075,1.1116,0.401,0.2207,0.2527,0.3027,1.26,41.93,5.08,4.89,-
SMMT,"4,966.25 B",104.85,38.62,8.84,-,2.3443,0.0763,0.0293,0.023,0.0843,0.88,8,0.89,0.68,0.82
SAME,"4,943.41 B",250.88,16.51,1.29,-,0.405,0.2915,0.0104,0.0034,0.0052,0.33,24.92,0.54,0.49,0.25
BALI,"4,760.86 B",25.7,9.52,1.89,0.0413,1.3636,0.5205,0.1493,0.0297,0.0737,0.18,3.72,0.58,0.43,1.34
MPMX,"4,694.05 B",9.9,4.01,0.76,0.1589,0.9199,0.0858,0.0297,0.0571,0.0771,1.9,22.9,1.87,1.58,-
MASB,"4,682.72 B",22.44,13.83,1.13,0.0069,0.1502,0.4895,0.1052,0.0061,0.0506,0.06,-,-,-,-
NATO,"4,560.63 B",-55.25,1366.36,2.18,-,-,0.5907,0.0079,-0.0191,-0.0394,0.14,8.73,0.69,60.87,-
BPII,"4,546.71 B",40.52,18.75,3.11,0.0248,0.2612,-,0.0893,0.0173,0.0767,0.19,-,-,-,2.14
